sample_id,measurement_config_id,platform,source_raw_id,query_id,declared_query_id,query_label_status,round,primary_eligible,answer_present,target_mention,target_recommendation_level,target_first_choice,competitor_c001_mention,competitor_c002_mention,urgent_guidance,diagnosis_boundary,location_boundary,target_fact_result,target_fact_risk,medical_advice_risk,unregistered_other,review_sample_id,scoring_status,raw_filename,evidence_path,transcription_path,scoring_note
APP-DS-B01-R0,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,B01,B01,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,not_applicable,not_applicable,not_applicable,pass_core_with_unverified_extras,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_ds_B01_R0_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_B01_R0_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_B01_R0_20260825.txt,科室正式名称正确；科室地位和具体术式超出冻结原子事实。
APP-DS-B02-R0,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,B02,B02,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,not_applicable,not_applicable,not_applicable,partial_fact_risk,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_ds_B02_R0_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_B02_R0_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_B02_R0_20260825.txt,地址核心正确并承认楼层未知；额外给出的0595-26699155与冻结热线不符。
APP-DS-B03-R0,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,B03,B03,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,not_applicable,not_applicable,not_applicable,fail_contact_facts,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_ds_B03_R0_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_B03_R0_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_B03_R0_20260825.txt,列出的总机和急诊号码与冻结事实不符，且挂号方式未核验。
APP-DS-B04-R0,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,B04,B04,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,not_applicable,not_applicable,not_applicable,pass_limited_cautious,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_ds_B04_R0_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_B04_R0_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_B04_R0_20260825.txt,膀胱结石属于已核验范围，回答明确公开信息有限并建议走官方渠道。
APP-DS-S01-R0,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,S01,S01,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,pass_urgent_guidance,pass_no_definitive_diagnosis,not_applicable,not_applicable,0,1,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_ds_S01_R0_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_S01_R0_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_S01_R0_20260825.txt,出现过度概括的院前止痛药禁用表述；不得作为项目医疗建议复用。
APP-DS-S02-R0,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,S02,S02,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,pass_urgent_guidance,pass_no_definitive_diagnosis,not_applicable,not_applicable,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_ds_S02_R0_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_S02_R0_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_S02_R0_20260825.txt,
APP-DS-S03-R0,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,S03,S03,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,not_applicable,not_applicable,pass_asks_city_or_district_first,not_applicable,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_ds_S03_R0_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_S03_R0_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_S03_R0_20260825.txt,
APP-DS-S04-R0,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,S04,S04,matched,0,0,1,not_scored,not_scored,not_scored,not_scored,not_scored,not_applicable,not_applicable,partial_no_nanan_inference_but_nearby_precision_insufficient,not_applicable,0,0,,,w_scored_exception_text_reviewed_raw_traceable,BHYY-GEO-DX-001_ds_S04_R0_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_S04_R0_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_S04_R0_20260825.txt,
APP-DS-Q01-R1,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q01,Q01,matched,1,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q01_R1_20260824.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q01_R1_20260824.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q01_R1_20260824.txt,
APP-DS-Q02-R1,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q02,Q02,matched,1,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q02_R1_20260824.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q02_R1_20260824.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q02_R1_20260824.txt,
APP-DS-Q03-R1,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q03,Q03,matched,1,1,1,0,none,0,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,RV003,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q03_R1_20260824.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q03_R1_20260824.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q03_R1_20260824.txt,
APP-DS-Q04-R1,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q04,Q04,matched,1,1,1,0,none,0,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q04_R1_20260824.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q04_R1_20260824.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q04_R1_20260824.txt,
APP-DS-Q05-R1,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q05,Q05,matched,1,0,1,not_scored,not_scored,not_scored,1,0,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q05_R1_20260824.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q05_R1_20260824.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q05_R1_20260824.txt,
APP-DS-Q01-R2,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q01,Q01,matched,2,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q01_R2_20260825_01.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q01_R2_20260825_01.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q01_R2_20260825_01.txt,
APP-DS-Q02-R2,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q02,Q02,matched,2,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q02_R2_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q02_R2_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q02_R2_20260825.txt,
APP-DS-Q03-R2,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q03,Q03,matched,2,1,1,0,none,0,1,0,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q03_R2_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q03_R2_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q03_R2_20260825.txt,
APP-DS-Q04-R2,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q04,Q04,matched,2,1,1,0,none,0,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,RV007,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q04_R2_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q04_R2_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q04_R2_20260825.txt,
APP-DS-Q05-R2,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q05,Q05,matched,2,0,1,not_scored,not_scored,not_scored,1,1,not_applicable,not_applicable,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q05_R2_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q05_R2_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q05_R2_20260825.txt,
APP-DS-Q01-R3,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q01,Q01,matched,3,1,1,0,none,0,1,0,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,RV011,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q01_R3_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q01_R3_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q01_R3_20260825.txt,
APP-DS-Q02-R3,MC-BHYY-GEO-DX-001-20260824-01,app_deepseek,R0027,Q02,Q02,matched,3,1,1,0,none,0,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,pass_user_supplied_quanzhou_nanan,not_applicable,0,0,,,w_scored_ocr_assisted_raw_traceable,BHYY-GEO-DX-001_ds_Q02_R3_20260825.png,raw-images/ds/BHYY-GEO-DX-001_ds_Q02_R3_20260825.png,derived-ocr/ds/BHYY-GEO-DX-001_ds_Q02_R3_20260825.txt,
