item_id,at,action,sender,receiver,filename,checksum,status,note
X0001,2026-08-23T09:12:22Z,drop,W,L,X0001_01_审核成员首次独立审核任务单_2026-08-23.md,ee8a12afce00948bf5d465931f7c36eb80fdc5edc98042153fbfa6bf2655a4ce,待取,请独立审核01商机卡与范围边界，填写通过或要改及理由
X0001,2026-08-23T12:14:26Z,pick,W,L,X0001_01_审核成员首次独立审核任务单_2026-08-23.md,ee8a12afce00948bf5d465931f7c36eb80fdc5edc98042153fbfa6bf2655a4ce,已领取,请独立审核01商机卡与范围边界，填写通过或要改及理由
X0001,2026-08-23T12:14:27Z,ack,W,L,X0001_01_审核成员首次独立审核任务单_2026-08-23.md,ee8a12afce00948bf5d465931f7c36eb80fdc5edc98042153fbfa6bf2655a4ce,已取,请独立审核01商机卡与范围边界，填写通过或要改及理由
X0004,2026-08-23T12:49:56Z,drop,W,L,X0004_01_审核成员地域口径更新重审任务单_2026-08-23.md,9e52fb3a6a561ec9522cf09c2bc2575f331dd2375220295d7e4c0cbe7a6452ef,待取,请按更新后的R0001-R0004重新完成五项审核，并专项核对泉州南安地域口径
X0004,2026-08-23T14:51:11Z,pick,W,L,X0004_01_审核成员地域口径更新重审任务单_2026-08-23.md,9e52fb3a6a561ec9522cf09c2bc2575f331dd2375220295d7e4c0cbe7a6452ef,已领取,L已领取并完成地域口径重审
X0004,2026-08-23T14:51:11Z,ack,W,L,X0004_01_审核成员地域口径更新重审任务单_2026-08-23.md,9e52fb3a6a561ec9522cf09c2bc2575f331dd2375220295d7e4c0cbe7a6452ef,已完成,R0008回传；结论通过且五项全部通过
X0005,2026-08-24T03:32:59Z,drop,W,L,X0005_02_审核成员G1独立审核任务单_2026-08-24.md,8C30D9EC1D6F48746A8E168088B9B88142450F2D187CCE0E792DC796393F6E47,待取,请完整审核G1材料；本轮为5轮且相邻间隔3小时的流程评估，不开始手机测评
X0005,2026-08-24T04:11:05Z,cancel,W,L,X0005_02_审核成员G1独立审核任务单_2026-08-24.md,8C30D9EC1D6F48746A8E168088B9B88142450F2D187CCE0E792DC796393F6E47,已撤回,题数已由R0012缩减为5题；旧20题版材料包作废
X0006,2026-08-24T04:11:05Z,drop,W,L,X0006_02_审核成员G1五题版重审任务单_2026-08-24.md,B5662DCB186B33038D19D75E986467BBB654ECAA61E5233369705A6726630DD3,待取,请审核最新5题版G1材料；计划总量132次，现在不开始手机测评
X0006,2026-08-24T04:29:43Z,pick,W,L,X0006_02_审核成员G1五题版重审任务单_2026-08-24.md,B5662DCB186B33038D19D75E986467BBB654ECAA61E5233369705A6726630DD3,已领取,L已完成5题版G1审核并回传R0013
X0006,2026-08-24T04:29:43Z,ack,W,L,X0006_02_审核成员G1五题版重审任务单_2026-08-24.md,B5662DCB186B33038D19D75E986467BBB654ECAA61E5233369705A6726630DD3,已完成,R0013结论通过且五项质量通过；竞品冻结项未勾选，转为第1轮前硬阻断
X0006,2026-08-24T04:32:11Z,revise,L,W,R0014_审核成员G1五题版完整审核通过回传_2026-08-24.md,B8DDE6D62967EC4F7BDC0CB91ABBBF28E4FCF639E64552274880796955848D9F,已完成,R0014修正竞品冻结勾选；全部检查项与五项质量通过
X0007,2026-08-24T05:34:05Z,drop,W,L,X0007_07_审核成员G6独立审核任务单_2026-08-24.md,ABFCF6B2ADC169334319039C5C9F4A6AA455AB0719D0F8BC12F854FEA75457A0,待取,请独立审核精简预算计算抽样方法和排除项；当前不开始手机测评
X0007,2026-08-24T06:20:49Z,revise,W,L,X0007_07_审核成员G6独立审核任务单_2026-08-24.md,65394FA4E5443333B88396D1B5DE8DD95C994EC0226C4C6D2DD04EE08FD65BA2,待取,补入R0014及其与R0015的G1审核批准衔接；此前缺少R0014的ZIP不再使用
X0007,2026-08-24T06:26:55Z,pick,W,L,R0018_审核成员G6旧版任务单审核通过回传_2026-08-24.md,3E1F1FC4C7211ABA116083052F59E5508B8FC33B8E52EEA33A77D85282D22B90,已领取,L已回传G6审核通过结果但使用修订前任务单
