review_sample_id,platform,round,query_id,need_id,status,note
RV001,app_doubao,1,Q01,N01,frozen,平台乘轮次各取1条
RV002,app_tongyi,1,Q02,N02,frozen,平台乘轮次各取1条
RV003,app_deepseek,1,Q03,N03,frozen,平台乘轮次各取1条
RV004,app_yuanbao,1,Q04,N04,frozen,平台乘轮次各取1条
RV005,app_doubao,2,Q02,N02,frozen,平台乘轮次各取1条
RV006,app_tongyi,2,Q03,N03,frozen,平台乘轮次各取1条
RV007,app_deepseek,2,Q04,N04,frozen,平台乘轮次各取1条
RV008,app_yuanbao,2,Q01,N01,frozen,平台乘轮次各取1条
RV009,app_doubao,3,Q03,N03,frozen,平台乘轮次各取1条
RV010,app_tongyi,3,Q04,N04,frozen,平台乘轮次各取1条
RV011,app_deepseek,3,Q01,N01,frozen,平台乘轮次各取1条
RV012,app_yuanbao,3,Q02,N02,frozen,平台乘轮次各取1条
RV013,app_doubao,4,Q04,N04,frozen,平台乘轮次各取1条
RV014,app_tongyi,4,Q01,N01,frozen,平台乘轮次各取1条
RV015,app_deepseek,4,Q02,N02,frozen,平台乘轮次各取1条
RV016,app_yuanbao,4,Q03,N03,frozen,平台乘轮次各取1条
RV017,app_doubao,5,Q01,N01,frozen,平台乘轮次各取1条
RV018,app_tongyi,5,Q02,N02,frozen,平台乘轮次各取1条
RV019,app_deepseek,5,Q03,N03,frozen,平台乘轮次各取1条
RV020,app_yuanbao,5,Q04,N04,frozen,平台乘轮次各取1条
