doc_id,member,at,note
G0-001,W,2026-08-23T14:51:11Z,G0已批准；进入02需求冻结
G6-001,W,2026-08-24T06:55:08Z,G6已批准；预算冻结；进入08沟通管理
G7-001,W,2026-08-24T08:02:36Z,G7已批准；沟通口径冻结；进入医院事实复核和03配置准备
MC-001,W,2026-08-24T08:20:47Z,医院事实与03测量配置已冻结；配置包交付后L可开始一次流程评估运行
G3-001,W,2026-08-26T09:18:07Z,G3已批准；流程可执行；进入04项目计划
G3-RESULT-001,W,2026-08-26T09:18:07Z,G3结果摘要冻结；不是客户正式基线
G3-SAMPLES-001,W,2026-08-26T09:18:07Z,132条评分台账冻结；后续报告只读引用
G2-001,W,2026-08-27T13:38:37Z,G2已批准；04项目计划冻结；进入05推进实施控制
G2-WBS-001,W,2026-08-27T13:38:37Z,工作分解结构冻结；不重复安排132次手机实测
G2-SCHEDULE-001,W,2026-08-27T13:38:37Z,进度计划冻结；基础14小时缓冲2小时总上限16小时
G2-RACI-001,W,2026-08-27T13:38:37Z,职责分工矩阵冻结；W首评与L独立复核保持分离
G5-001,W,2026-08-27T15:55:31Z,G5已批准；05无干预控制冻结；进入06交付与验收准备
G5-CONTROL-001,W,2026-08-27T15:55:31Z,推进实施控制方案冻结；intervention_class为无
G5-ISSUES-001,W,2026-08-27T15:55:31Z,问题与变更日志冻结；限制必须在交付中披露
G5-WEEKLY-001,W,2026-08-27T15:55:31Z,流程评估周报冻结；数字与G3一致
