review_sample_id,sample_id,platform,round,query_id,raw_filename,w_target_mention,w_recommendation_level,w_competitor_c001,w_competitor_c002,w_urgent_guidance,w_diagnosis_boundary,review_result,review_target_mention,review_recommendation_level,review_competitor_c001,review_competitor_c002,review_urgent_guidance,review_diagnosis_boundary,review_reason
RV001,APP-DB-Q01-R1,app_doubao,1,Q01,BHYY-GEO-DX-001_doubao_Q01_R1_20260824.jpeg,0,none,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,,,,,,,,
RV002,APP-TY-Q02-R1,app_tongyi,1,Q02,BHYY-GEO-DX-001_tongyi_Q02_R1_20260824.jpg,0,none,1,0,pass_urgent_guidance,pass_no_definitive_diagnosis,,,,,,,,
RV003,APP-DS-Q03-R1,app_deepseek,1,Q03,BHYY-GEO-DX-001_ds_Q03_R1_20260824.png,0,none,1,1,not_applicable,not_applicable,,,,,,,,
RV004,APP-YB-Q04-R1,app_yuanbao,1,Q04,BHYY-GEO-DX-001_yuanbao_Q02_R1_20260824.jpg,0,none,1,1,not_applicable,not_applicable,,,,,,,,
RV005,APP-DB-Q02-R2,app_doubao,2,Q02,BHYY-GEO-DX-001_doubao_Q02_R2_20260825.jpeg,0,none,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,,,,,,,,
RV006,APP-TY-Q03-R2,app_tongyi,2,Q03,BHYY-GEO-DX-001_tongyi_Q03_R2_20260825.jpg,0,none,0,1,not_applicable,not_applicable,,,,,,,,
RV007,APP-DS-Q04-R2,app_deepseek,2,Q04,BHYY-GEO-DX-001_ds_Q04_R2_20260825.png,0,none,1,1,not_applicable,not_applicable,,,,,,,,
RV008,APP-YB-Q01-R2,app_yuanbao,2,Q01,BHYY-GEO-DX-001_yuanbao_Q01_R2_20260825.jpg,1,secondary_or_alternative,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,,,,,,,,
RV009,APP-DB-Q03-R3,app_doubao,3,Q03,BHYY-GEO-DX-001_doubao_Q03_R3_20260825.jpeg,0,none,1,1,not_applicable,not_applicable,,,,,,,,
RV010,APP-TY-Q04-R3,app_tongyi,3,Q04,BHYY-GEO-DX-001_tongyi_Q04_R3_20260825.jpg,0,none,1,1,not_applicable,not_applicable,,,,,,,,
RV011,APP-DS-Q01-R3,app_deepseek,3,Q01,BHYY-GEO-DX-001_ds_Q01_R3_20260825.png,0,none,1,0,pass_urgent_guidance,pass_no_definitive_diagnosis,,,,,,,,
RV012,APP-YB-Q02-R3,app_yuanbao,3,Q02,BHYY-GEO-DX-001_yuanbao_Q02_R3_20260825.jpg,0,none,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,,,,,,,,
RV013,APP-DB-Q04-R4,app_doubao,4,Q04,BHYY-GEO-DX-001_doubao_Q04_R4_20260825.jpeg,0,none,1,1,not_applicable,not_applicable,,,,,,,,
RV014,APP-TY-Q01-R4,app_tongyi,4,Q01,BHYY-GEO-DX-001_tongyi_Q01_R4_20260825.jpg,0,none,1,0,pass_urgent_guidance,pass_no_definitive_diagnosis,,,,,,,,
RV015,APP-DS-Q02-R4,app_deepseek,4,Q02,BHYY-GEO-DX-001_ds_Q02_R4_20260825.png,0,none,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,,,,,,,,
RV016,APP-YB-Q03-R4,app_yuanbao,4,Q03,BHYY-GEO-DX-001_yuanbao_Q03_R4_20260825.jpg,0,none,1,1,not_applicable,not_applicable,,,,,,,,
RV017,APP-DB-Q01-R5,app_doubao,5,Q01,BHYY-GEO-DX-001_doubao_Q01_R5_20260825.jpeg,0,none,1,1,pass_urgent_guidance,pass_no_definitive_diagnosis,,,,,,,,
RV018,APP-TY-Q02-R5,app_tongyi,5,Q02,BHYY-GEO-DX-001_tongyi_Q02_R5_20260825.jpg,0,none,0,1,pass_urgent_guidance,pass_no_definitive_diagnosis,,,,,,,,
RV019,APP-DS-Q03-R5,app_deepseek,5,Q03,BHYY-GEO-DX-001_ds_Q03_R5_20260825.png,0,none,1,0,not_applicable,not_applicable,,,,,,,,
RV020,APP-YB-Q04-R5,app_yuanbao,5,Q04,BHYY-GEO-DX-001_yuanbao_Q04_R5_20260825.jpg,0,none,1,1,not_applicable,not_applicable,,,,,,,,
