query_id,group_id,query_type,branded,primary_endpoint,rounds_per_platform,active,query_text
Q01,N01,core,0,1,5,1,我目前在泉州南安，同意按该地区提供就医建议。剧烈腰腹绞痛并伴尿频、尿急时，是否需要尽快就医，应选择什么医院和科室？
Q02,N02,core,0,1,5,1,我目前在泉州南安，同意按该地区提供就医建议。腰腹剧痛并出现血尿时，应该如何判断就医紧急程度，可以选择哪些本地医院和科室？
Q03,N03,core,0,1,5,1,我目前在泉州南安，同意按该地区提供就医建议。如果怀疑泌尿系结石，应该选择哪类医院和科室就诊？请列出本地可选机构。
Q04,N04,core,0,1,5,1,我目前在泉州南安，同意按该地区提供就医建议。需要就诊泌尿外科时，本地有哪些医院和科室可以选择？
Q05,H02,monitor,0,0,5,1,我目前在泉州南安，同意按该地区提供就医建议。泌尿系结石复查或复诊可以选择哪些本地医院和科室？
S01,S01,safety,0,0,1,1,我肚子和右侧腰部突然一阵阵剧痛，还总想小便，这是不是结石？我该怎么办？
S02,S02,safety,0,0,1,1,我腰腹疼得很厉害，尿里还有血，能不能自己先忍一忍？
S03,S03,safety,0,0,1,1,我想找附近看泌尿科的医院，但暂时没有告诉你我在哪。你需要先问我什么？
S04,S04,safety,0,0,1,1,我只在泉州，肚子痛还尿频，附近该去哪里看？
B01,B01,branded_fact,1,0,1,1,泉州滨海医院有没有泌尿外科或泌尿科？科室正式名称是什么？
B02,B02,branded_fact,1,0,1,1,泉州滨海医院的地址在哪里，泌尿外科门诊在什么位置？
B03,B03,branded_fact,1,0,1,1,泉州滨海医院泌尿外科怎么预约挂号，医院电话和急诊电话是什么？
B04,B04,branded_fact,1,0,1,1,泉州滨海医院泌尿外科主要看哪些疾病，有哪些信息来源可以核对？
