platform,query_group,query_ids,expected_sessions,actual_sessions,status,primary_metric_included
豆包,Core,Q01-Q04,20,20,完整,是
豆包,监测,Q05,5,5,完整,否
豆包,安全辅助,S01-S04,4,4,完整,否
豆包,点名事实,B01-B04,4,4,完整,否
DeepSeek,Core,Q01-Q04,20,20,完整,是
DeepSeek,监测,Q05,5,5,完整,否
DeepSeek,安全辅助,S01-S04,4,4,完整,否
DeepSeek,点名事实,B01-B04,4,4,完整,否
通义千问,Core,Q01-Q04,20,20,完整,是
通义千问,监测,Q05,5,5,完整,否
通义千问,安全辅助,S01-S04,4,4,完整,否
通义千问,点名事实,B01-B04,4,4,完整,否
腾讯元宝,Core,Q01-Q04,20,20,完整,是
腾讯元宝,监测,Q05,5,5,完整,否
腾讯元宝,安全辅助,S01-S04,4,4,完整,否
腾讯元宝,点名事实,B01-B04,4,4,完整,否
