"sample_id","measurement_config_id","platform","platform_order","query_id","group_id","query_type","round","planned_phase","query_text","status","started_at","app_version","mode","evidence_filenames","response_capture","w_transcription_status","l_note"
"APP-DB-Q01-R1","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q01","N01","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。剧烈腰腹绞痛并伴尿频、尿急时，是否需要尽快就医，应选择什么医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q02-R1","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q02","N02","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。腰腹剧痛并出现血尿时，应该如何判断就医紧急程度，可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q03-R1","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q03","N03","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。如果怀疑泌尿系结石，应该选择哪类医院和科室就诊？请列出本地可选机构。","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q04-R1","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q04","N04","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。需要就诊泌尿外科时，本地有哪些医院和科室可以选择？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q05-R1","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q05","H02","monitor","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。泌尿系结石复查或复诊可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q01-R1","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q01","N01","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。剧烈腰腹绞痛并伴尿频、尿急时，是否需要尽快就医，应选择什么医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q02-R1","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q02","N02","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。腰腹剧痛并出现血尿时，应该如何判断就医紧急程度，可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q03-R1","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q03","N03","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。如果怀疑泌尿系结石，应该选择哪类医院和科室就诊？请列出本地可选机构。","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q04-R1","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q04","N04","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。需要就诊泌尿外科时，本地有哪些医院和科室可以选择？","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q05-R1","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q05","H02","monitor","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。泌尿系结石复查或复诊可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DS-Q01-R1","MC-BHYY-GEO-DX-001-20260824-01","app_deepseek","3","Q01","N01","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。剧烈腰腹绞痛并伴尿频、尿急时，是否需要尽快就医，应选择什么医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DS-Q02-R1","MC-BHYY-GEO-DX-001-20260824-01","app_deepseek","3","Q02","N02","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。腰腹剧痛并出现血尿时，应该如何判断就医紧急程度，可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DS-Q03-R1","MC-BHYY-GEO-DX-001-20260824-01","app_deepseek","3","Q03","N03","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。如果怀疑泌尿系结石，应该选择哪类医院和科室就诊？请列出本地可选机构。","not_run","","","standard","","screenshot_pending","pending",""
"APP-DS-Q04-R1","MC-BHYY-GEO-DX-001-20260824-01","app_deepseek","3","Q04","N04","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。需要就诊泌尿外科时，本地有哪些医院和科室可以选择？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DS-Q05-R1","MC-BHYY-GEO-DX-001-20260824-01","app_deepseek","3","Q05","H02","monitor","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。泌尿系结石复查或复诊可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-YB-Q01-R1","MC-BHYY-GEO-DX-001-20260824-01","app_yuanbao","4","Q01","N01","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。剧烈腰腹绞痛并伴尿频、尿急时，是否需要尽快就医，应选择什么医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-YB-Q02-R1","MC-BHYY-GEO-DX-001-20260824-01","app_yuanbao","4","Q02","N02","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。腰腹剧痛并出现血尿时，应该如何判断就医紧急程度，可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-YB-Q03-R1","MC-BHYY-GEO-DX-001-20260824-01","app_yuanbao","4","Q03","N03","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。如果怀疑泌尿系结石，应该选择哪类医院和科室就诊？请列出本地可选机构。","not_run","","","standard","","screenshot_pending","pending",""
"APP-YB-Q04-R1","MC-BHYY-GEO-DX-001-20260824-01","app_yuanbao","4","Q04","N04","core","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。需要就诊泌尿外科时，本地有哪些医院和科室可以选择？","not_run","","","standard","","screenshot_pending","pending",""
"APP-YB-Q05-R1","MC-BHYY-GEO-DX-001-20260824-01","app_yuanbao","4","Q05","H02","monitor","1","formal_round_1","我目前在泉州南安，同意按该地区提供就医建议。泌尿系结石复查或复诊可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q01-R2","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q01","N01","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。剧烈腰腹绞痛并伴尿频、尿急时，是否需要尽快就医，应选择什么医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q02-R2","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q02","N02","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。腰腹剧痛并出现血尿时，应该如何判断就医紧急程度，可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q03-R2","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q03","N03","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。如果怀疑泌尿系结石，应该选择哪类医院和科室就诊？请列出本地可选机构。","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q04-R2","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q04","N04","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。需要就诊泌尿外科时，本地有哪些医院和科室可以选择？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q05-R2","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q05","H02","monitor","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。泌尿系结石复查或复诊可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q01-R2","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q01","N01","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。剧烈腰腹绞痛并伴尿频、尿急时，是否需要尽快就医，应选择什么医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q02-R2","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q02","N02","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。腰腹剧痛并出现血尿时，应该如何判断就医紧急程度，可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q03-R2","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q03","N03","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。如果怀疑泌尿系结石，应该选择哪类医院和科室就诊？请列出本地可选机构。","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q04-R2","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q04","N04","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。需要就诊泌尿外科时，本地有哪些医院和科室可以选择？","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q05-R2","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q05","H02","monitor","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。泌尿系结石复查或复诊可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DS-Q01-R2","MC-BHYY-GEO-DX-001-20260824-01","app_deepseek","3","Q01","N01","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。剧烈腰腹绞痛并伴尿频、尿急时，是否需要尽快就医，应选择什么医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DS-Q02-R2","MC-BHYY-GEO-DX-001-20260824-01","app_deepseek","3","Q02","N02","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。腰腹剧痛并出现血尿时，应该如何判断就医紧急程度，可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DS-Q03-R2","MC-BHYY-GEO-DX-001-20260824-01","app_deepseek","3","Q03","N03","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。如果怀疑泌尿系结石，应该选择哪类医院和科室就诊？请列出本地可选机构。","not_run","","","standard","","screenshot_pending","pending",""
"APP-DS-Q04-R2","MC-BHYY-GEO-DX-001-20260824-01","app_deepseek","3","Q04","N04","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。需要就诊泌尿外科时，本地有哪些医院和科室可以选择？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DS-Q05-R2","MC-BHYY-GEO-DX-001-20260824-01","app_deepseek","3","Q05","H02","monitor","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。泌尿系结石复查或复诊可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-YB-Q01-R2","MC-BHYY-GEO-DX-001-20260824-01","app_yuanbao","4","Q01","N01","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。剧烈腰腹绞痛并伴尿频、尿急时，是否需要尽快就医，应选择什么医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-YB-Q02-R2","MC-BHYY-GEO-DX-001-20260824-01","app_yuanbao","4","Q02","N02","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。腰腹剧痛并出现血尿时，应该如何判断就医紧急程度，可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-YB-Q03-R2","MC-BHYY-GEO-DX-001-20260824-01","app_yuanbao","4","Q03","N03","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。如果怀疑泌尿系结石，应该选择哪类医院和科室就诊？请列出本地可选机构。","not_run","","","standard","","screenshot_pending","pending",""
"APP-YB-Q04-R2","MC-BHYY-GEO-DX-001-20260824-01","app_yuanbao","4","Q04","N04","core","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。需要就诊泌尿外科时，本地有哪些医院和科室可以选择？","not_run","","","standard","","screenshot_pending","pending",""
"APP-YB-Q05-R2","MC-BHYY-GEO-DX-001-20260824-01","app_yuanbao","4","Q05","H02","monitor","2","formal_round_2","我目前在泉州南安，同意按该地区提供就医建议。泌尿系结石复查或复诊可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q01-R3","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q01","N01","core","3","formal_round_3","我目前在泉州南安，同意按该地区提供就医建议。剧烈腰腹绞痛并伴尿频、尿急时，是否需要尽快就医，应选择什么医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q02-R3","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q02","N02","core","3","formal_round_3","我目前在泉州南安，同意按该地区提供就医建议。腰腹剧痛并出现血尿时，应该如何判断就医紧急程度，可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q03-R3","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q03","N03","core","3","formal_round_3","我目前在泉州南安，同意按该地区提供就医建议。如果怀疑泌尿系结石，应该选择哪类医院和科室就诊？请列出本地可选机构。","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q04-R3","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q04","N04","core","3","formal_round_3","我目前在泉州南安，同意按该地区提供就医建议。需要就诊泌尿外科时，本地有哪些医院和科室可以选择？","not_run","","","standard","","screenshot_pending","pending",""
"APP-DB-Q05-R3","MC-BHYY-GEO-DX-001-20260824-01","app_doubao","1","Q05","H02","monitor","3","formal_round_3","我目前在泉州南安，同意按该地区提供就医建议。泌尿系结石复查或复诊可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q01-R3","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q01","N01","core","3","formal_round_3","我目前在泉州南安，同意按该地区提供就医建议。剧烈腰腹绞痛并伴尿频、尿急时，是否需要尽快就医，应选择什么医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q02-R3","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q02","N02","core","3","formal_round_3","我目前在泉州南安，同意按该地区提供就医建议。腰腹剧痛并出现血尿时，应该如何判断就医紧急程度，可以选择哪些本地医院和科室？","not_run","","","standard","","screenshot_pending","pending",""
"APP-TY-Q03-R3","MC-BHYY-GEO-DX-001-20260824-01","app_tongyi","2","Q03","N03","core","3","formal_round_3","我目前在泉州南安，同意按该地区提供就医建议。如果怀疑泌尿系结石，应该选择哪类医院和科室就诊？请列出本地可选机构。","not_run","","","standard","","screenshot_pending","pending",""
